"","trimestre","instrucao","setor","rendimento_medio_nominal"
"239","2020/3T","Fundamental incompleto ou equivalente","Outros Serviços",991.75
"240","2020/3T","Fundamental completo ou equivalente","Outros Serviços",1161.5
"241","2020/3T","Médio incompleto ou equivalente","Outros Serviços",1090.47
"242","2020/3T","Médio completo ou equivalente","Outros Serviços",1337.21
"243","2020/3T","Superior incompleto ou equivalente","Outros Serviços",1832.57
"244","2020/3T","Superior completo","Outros Serviços",3066.36
"245","2020/3T","Fundamental incompleto ou equivalente","Atividades mal definidas",662.13
"246","2020/3T","Fundamental completo ou equivalente","Atividades mal definidas",2000
"247","2020/3T","Médio incompleto ou equivalente","Atividades mal definidas",852.7
"248","2020/3T","Médio completo ou equivalente","Atividades mal definidas",1111.63
"249","2020/3T","Superior completo","Atividades mal definidas",2000
"250","2020/4T","Sem instrução e menos de 1 ano de estudo","Agricultura, pecuária, produção florestal, pesca e aquicultura",735.18
"251","2020/4T","Fundamental incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1197.36
"252","2020/4T","Fundamental completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1637.56
"253","2020/4T","Médio incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1513.46
"254","2020/4T","Médio completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1753.26
"255","2020/4T","Superior incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",2873.55
"256","2020/4T","Superior completo","Agricultura, pecuária, produção florestal, pesca e aquicultura",5136.89
"257","2020/4T","Sem instrução e menos de 1 ano de estudo","Indústria geral",1069.18
"258","2020/4T","Fundamental incompleto ou equivalente","Indústria geral",1426.47
"259","2020/4T","Fundamental completo ou equivalente","Indústria geral",1549.71
"260","2020/4T","Médio incompleto ou equivalente","Indústria geral",1413.46
"261","2020/4T","Médio completo ou equivalente","Indústria geral",1969.53
"262","2020/4T","Superior incompleto ou equivalente","Indústria geral",2798
"263","2020/4T","Superior completo","Indústria geral",6142.21
"264","2020/4T","Sem instrução e menos de 1 ano de estudo","Construção",1163.5
"265","2020/4T","Fundamental incompleto ou equivalente","Construção",1381.38
"266","2020/4T","Fundamental completo ou equivalente","Construção",1489.92
"267","2020/4T","Médio incompleto ou equivalente","Construção",1440.98
"268","2020/4T","Médio completo ou equivalente","Construção",1819.3
"269","2020/4T","Superior incompleto ou equivalente","Construção",2195.87
"270","2020/4T","Superior completo","Construção",5174.69
"271","2020/4T","Sem instrução e menos de 1 ano de estudo","Comércio, reparação de veículos automotores e motocicletas",1064.51
"272","2020/4T","Fundamental incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1501.85
"273","2020/4T","Fundamental completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1750
"274","2020/4T","Médio incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1453.93
"275","2020/4T","Médio completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1741.57
"276","2020/4T","Superior incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",2354.03
"277","2020/4T","Superior completo","Comércio, reparação de veículos automotores e motocicletas",3479.13
"278","2020/4T","Sem instrução e menos de 1 ano de estudo","Transporte, armazenagem e correio ",978.7
"279","2020/4T","Fundamental incompleto ou equivalente","Transporte, armazenagem e correio ",1774.86
"280","2020/4T","Fundamental completo ou equivalente","Transporte, armazenagem e correio ",1988.95
"281","2020/4T","Médio incompleto ou equivalente","Transporte, armazenagem e correio ",1831.35
"282","2020/4T","Médio completo ou equivalente","Transporte, armazenagem e correio ",2009.91
"283","2020/4T","Superior incompleto ou equivalente","Transporte, armazenagem e correio ",2768.05
"284","2020/4T","Superior completo","Transporte, armazenagem e correio ",3667.45
"285","2020/4T","Sem instrução e menos de 1 ano de estudo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1718.5
"286","2020/4T","Fundamental incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1398.55
"287","2020/4T","Fundamental completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1646.68
"288","2020/4T","Médio incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1542.35
"289","2020/4T","Médio completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1887.31
"290","2020/4T","Superior incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",2449.1
"291","2020/4T","Superior completo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",5597.95
"292","2020/4T","Sem instrução e menos de 1 ano de estudo","Administração pública, defesa e seguridade social ",2755.99
"293","2020/4T","Fundamental incompleto ou equivalente","Administração pública, defesa e seguridade social ",1394.71
"294","2020/4T","Fundamental completo ou equivalente","Administração pública, defesa e seguridade social ",1796.13
"295","2020/4T","Médio incompleto ou equivalente","Administração pública, defesa e seguridade social ",1439.82
"296","2020/4T","Médio completo ou equivalente","Administração pública, defesa e seguridade social ",2103.83
"297","2020/4T","Superior incompleto ou equivalente","Administração pública, defesa e seguridade social ",2144.22
